xField[m],yField[m]
0.000000,72.000000
0.000000,0.000000
118.000000,0.000000
118.000000,72.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20181031T183138000,51.486651,38.086261,46.371388,6.228579,0.584640,1.036550e+02,NaN,NaN
20181031T183138100,51.459370,38.236617,46.371389,6.228577,1.132560,1.036550e+02,NaN,NaN
20181031T183138200,51.458899,38.383449,46.371389,6.228576,1.670400,1.036550e+02,NaN,NaN
20181031T183138300,51.471832,38.528519,46.371390,6.228574,2.213640,1.036550e+02,NaN,NaN
20181031T183138400,51.494651,38.678670,46.371391,6.228573,2.793960,1.036284e+02,NaN,NaN
20181031T183138500,51.564054,38.835458,46.371392,6.228571,3.388680,1.036284e+02,NaN,NaN
20181031T183138600,51.580504,38.973684,46.371392,6.228570,3.941640,1.036284e+02,NaN,NaN
20181031T183138700,51.577180,39.101747,46.371393,6.228568,4.436640,1.036284e+02,NaN,NaN
20181031T183138800,51.563304,39.250341,46.371393,6.228566,4.986360,1.036284e+02,NaN,NaN
20181031T183138900,51.562832,39.397173,46.371394,6.228565,5.550120,1.036284e+02,NaN,NaN
20181031T183139000,51.555991,39.532080,46.371395,6.228563,5.521680,1.036284e+02,NaN,NaN
20181031T183139100,51.553332,39.634531,46.371395,6.228562,5.419800,1.036284e+02,NaN,NaN
20181031T183139200,51.546297,39.648218,46.371395,6.228562,5.093640,1.036564e+02,NaN,NaN
20181031T183139300,51.566071,39.658381,46.371395,6.228562,4.685760,1.036564e+02,NaN,NaN
20181031T183139400,51.627388,39.612031,46.371395,6.228563,4.311720,1.036564e+02,NaN,NaN
20181031T183139500,51.662561,39.543593,46.371395,6.228563,3.938040,1.036564e+02,NaN,NaN
20181031T183139600,51.692222,39.558837,46.371396,6.228563,3.494520,1.036564e+02,NaN,NaN
20181031T183139700,51.726065,39.541625,46.371396,6.228564,3.093120,1.036564e+02,NaN,NaN
20181031T183139800,51.757056,39.505644,46.371396,6.228565,2.676600,1.036564e+02,NaN,NaN
20181031T183139900,51.783200,39.527732,46.371396,6.228564,2.198160,1.036564e+02,NaN,NaN
20181031T183140000,51.784723,39.597726,46.371397,6.228564,1.849320,1.037461e+02,NaN,NaN
20181031T183140100,51.729111,39.681613,46.371397,6.228562,1.656360,1.037461e+02,NaN,NaN
20181031T183140200,51.657242,39.748494,46.371396,6.228561,1.702800,1.037461e+02,NaN,NaN
20181031T183140300,51.691279,39.852501,46.371397,6.228560,1.855080,1.037461e+02,NaN,NaN
20181031T183140400,51.702689,39.927577,46.371397,6.228559,1.926000,1.037461e+02,NaN,NaN
20181031T183140500,51.730356,40.019658,46.371398,6.228558,2.007000,1.037461e+02,NaN,NaN
20181031T183140600,51.770762,40.135591,46.371399,6.228557,2.275200,1.037461e+02,NaN,NaN
20181031T183140700,51.831607,40.236073,46.371400,6.228556,2.573640,1.037461e+02,NaN,NaN
20181031T183140800,51.901674,40.367249,46.371401,6.228555,2.889360,1.037461e+02,NaN,NaN
20181031T183140900,51.932193,40.478099,46.371401,6.228554,3.218400,1.039354e+02,NaN,NaN
20181031T183141000,51.965565,40.607719,46.371402,6.228553,3.444840,1.039354e+02,NaN,NaN
20181031T183141100,52.015194,40.754345,46.371403,6.228552,3.709080,1.039354e+02,NaN,NaN
20181031T183141200,52.041531,40.897652,46.371404,6.228550,3.972600,1.039354e+02,NaN,NaN
20181031T183141300,52.044576,41.037640,46.371405,6.228549,4.185000,1.039354e+02,NaN,NaN
20181031T183141400,52.014444,41.169228,46.371405,6.228547,4.391640,1.039354e+02,NaN,NaN
20181031T183141500,52.011120,41.297291,46.371406,6.228545,4.553640,1.039354e+02,NaN,NaN
20181031T183141600,52.034604,41.421829,46.371406,6.228544,4.620960,1.039354e+02,NaN,NaN
20181031T183141700,52.033468,41.594274,46.371407,6.228542,4.775040,1.041271e+02,NaN,NaN
20181031T183141800,52.052771,41.751268,46.371408,6.228540,4.880880,1.041271e+02,NaN,NaN
20181031T183141900,52.098882,41.904738,46.371409,6.228539,5.001480,1.041271e+02,NaN,NaN
20181031T183142000,52.106110,42.012270,46.371409,6.228538,5.026320,1.041271e+02,NaN,NaN
20181031T183142100,52.096416,42.128408,46.371410,6.228536,4.959360,1.041271e+02,NaN,NaN
20181031T183142200,52.082540,42.277002,46.371410,6.228534,4.933080,1.041271e+02,NaN,NaN
20181031T183142300,52.051743,42.434202,46.371410,6.228532,4.993200,1.041271e+02,NaN,NaN
20181031T183142400,52.001172,42.581240,46.371411,6.228530,5.068080,1.041271e+02,NaN,NaN
20181031T183142500,51.951265,42.702665,46.371411,6.228529,5.104440,1.043024e+02,NaN,NaN
20181031T183142600,51.954975,42.817041,46.371411,6.228527,5.101560,1.043024e+02,NaN,NaN
20181031T183142700,51.955169,42.938260,46.371412,6.228526,4.994640,1.043024e+02,NaN,NaN
20181031T183142800,51.934923,43.074929,46.371412,6.228524,4.931640,1.043024e+02,NaN,NaN
20181031T183142900,51.919525,43.153529,46.371412,6.228523,4.805280,1.043024e+02,NaN,NaN
20181031T183143000,51.923235,43.267905,46.371413,6.228522,4.752720,1.043024e+02,NaN,NaN
20181031T183143100,51.907172,43.372118,46.371413,6.228521,4.669200,1.043024e+02,NaN,NaN
20181031T183143200,51.884074,43.490018,46.371414,6.228519,4.576320,1.043024e+02,NaN,NaN
20181031T183143300,51.834832,43.585831,46.371414,6.228518,4.419000,1.043024e+02,NaN,NaN
20181031T183143400,51.798994,43.679881,46.371414,6.228517,4.226040,1.044418e+02,NaN,NaN
